GTNum,GTStn,CastType,Pump,StationType,CastNumber,Eventnumber,Latitudedegrees_north,Longitudedegrees_east,Bottomdepthm,DateatMidcastGMTyyyymmdd,TimeGMTatmidcasthhmm,TargetGTDepthm,CorrectedMeanDepthm,stddevDepthm,GP15featuredescription,VolumeQMAL,VolumeSuporL,VolumeFinalL,PumpError,overallpumpnotes,Qpprocessingnotes,Qprocessingnotes,Spprocessingnotes,Sprocessingnotes,Sr_SPT_pM,Y_SPT_pM,Mo_SPT_pM,Rh103LR_pM,Ag_SPT_pM,Cd_SPT_pM,In115LR_pM,Ba_SPT_pM,La_SPT_pM,Ce_SPT_pM,Pr_SPT_pM,Nd143_SPT_pM,Nd146_SPT_pM,Sm147_SPT_pM,Sm149_SPT_pM,Eu151_SPT_pM,Eu153_SPT_pM,Gd157_SPT_pM,Tb_SPT_pM,Gd160_SPT_pM,Dy_SPT_pM,Dy_SPT_pM1,Ho_SPT_pM,Er166_SPT_pM,Er167_SPT_pM,Tm_SPT_pM,Yb172_SPT_pM,Yb174_SPT_pM,Lu_SPT_pM,Pb_SPT_pM,Th_SPT_pM,U_SPT_pM,Al_SPT_pM,P_SPT_pM,Sc_SPT_pM,Ti_SPT_pM,V_SPT_pM,Cr_SPT_pM,Mn_SPT_pM,Fe_SPT_pM,Co_SPT_pM,Ni_SPT_pM,Cu_SPT_pM,Zn_SPT_pM,POC_SPT_uM,PN_SPT_uM,POC_LPT_uM,PN_LPT_uM,PIC_SPT_nM,PIC_LPT_nM,bSi_SPT_nM,bSi_LPT_nM,POC_13_12_SPT_permill,N_15_14_SPT_permil,POC_13_12_LPT_permil,N_15_14_LPT_permil,Sr_LPT_pM,Y_LPT_pM,Mo_LPT_pM,Rh103LR_pM1,Ag_LPT_pM,Cd_LPT_pM,In115LR_pM1,Ba_LPT_pM,La_LPT_pM,Ce_LPT_pM,Pr_LPT_pM,Nd143_LPT_pM,Nd146_LPT_pM,Sm147_LPT_pM,Sm149_LPT_pM,Eu151_LPT_pM,Eu153_LPT_pM,Gd157_LPT_pM,Tb_LPT_pM,Gd160_LPT_pM,Dy_LPT_pM,Dy_LPT_pM1,Ho_LPT_pM,Er166_LPT_pM,Er167_LPT_pM,Tm_LPT_pM,Yb172_LPT_pM,Yb174_LPT_pM,Lu_LPT_pM,Pb_LPT_pM,Th_LPT_pM,U_LPT_pM,Al_LPT_pM,P_LPT_pM,Sc_LPT_pM,Ti_LPT_pM,V_LPT_pM,Cr_LPT_pM,Mn_LPT_pM,Fe56_LPT_pM,Fe57_LPT_pM,Co_LPT_pM,Ni_LPT_pM,Cu_LPT_pM,Zn_LPT_pM,Al_SPT_pM_noneg,Al_LPT_pM_noneg,POM_SPT_ugL,POM_LPT_ugL,CaCO3_SPT_ugL,CaCO3_LPT_ugL,opal_SPT_ugL,opal_LPT_ugL,litho_SPT_ugL,litho_LPT_ugL,FeOH3_SPT_ugL,FeOH3_LPT_ugL,MnO2_SPT_ugL,MnO2_LPT_ugL,SPM_SPT_ugL,SPM_LPT_ugL,fPOM_SPT,fCaCO3_SPT,fopal_SPT,flitho_SPT,fFeOH3_SPT,fMnO2_SPT,fPOM_LPT,fCaCO3_LPT,fopal_LPT,flitho_LPT,fFeOH3_LPT,fMnO2_LPT,CP_SPT_molmol,CP_LPT_molmol,NP_SPT_molmol,NP_LPT_molmol,CN_SPT_molmol,CN_LPT_molmol,CdP_SPT_mmolmol,CdP_LPT_mmolmol,ZnP_SPT_mmolmol,ZnP_LPT_mmolmol,ZnP_SPT_molmol,ZnP_LPT_molmol,CdP_SPT_molmol,CdP_LPT_molmol
14238,21,D,1,1,10,6819,11,-152,5378,10/31/18 6:30,10/31/18 6:30,5338,5345.9,0.4289,bottom-40,1099.2,409.4,1574.5,,,,,,,6,1,6,6,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,1,1,6,1,1,1,1,1,6,6,6,1,1,1,1,1,1,6,6,1,1,1,1,1,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,3,1,1,1,1,1,3,6,3,6
14237,21,D,2,1,10,6819,11,-152,5378,10/31/18 6:30,10/31/18 6:30,5298,5304.4,0.4289,bottom-80,1071.7,379.8,1462.8,,,,,,,6,1,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,1,1,6,1,1,1,1,1,6,6,6,1,1,1,1,1,1,6,6,1,1,6,1,1,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,3,1,1,1,1,1,3,6,3,6
14236,21,D,3,1,10,6819,11,-152,5378,10/31/18 6:30,10/31/18 6:30,5218,5220.3,0.4289,bottom-160,952.4,333.9,1436.3,,"Leaking 2nd cartridge holder; S,Q volumes ok; total volume includes leak. ",,,,,6,1,6,6,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,1,1,6,1,1,1,1,1,6,6,6,6,6,1,1,1,1,6,6,6,6,6,1,1,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,6,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,3,6,3,6,3,3,1,1,1,1,3,6,3,6
14235,21,D,4,1,10,6819,11,-152,5378,10/31/18 6:30,10/31/18 6:30,4250,4256.2,0.4289,clear water min,1159.2,388.6,1573.2,,,,,,,6,1,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,6,1,1,1,6,1,1,1,6,1,6,6,6,1,1,1,1,1,1,6,6,1,1,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,6,6,1,6,6,1,1,6,1,1,1,1,1,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,3,3,3,3
14234,21,D,5,1,10,6819,11,-152,5378,10/31/18 6:30,10/31/18 6:30,3250,3256.2,0.4289,0,1133.2,421.8,1562.1,,,,,,,6,1,6,6,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,6,1,1,1,6,1,1,1,6,1,6,6,6,1,1,1,1,1,1,6,6,1,1,1,6,1,6,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,6,1,1,1,1,1,1,1,1,1,3,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,3,1,1,1,1,1,3,3,3,0
14233,21,D,6,1,10,6819,11,-152,5378,10/31/18 6:30,10/31/18 6:30,2500,2507.2,0.4289,0,1187.8,441.1,1632.9,,,,,,6s has smaller large black aggregate to7Q -> to Pb/Po,6,1,6,6,1,6,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,1,1,1,1,6,1,1,1,1,1,6,1,6,1,1,1,1,1,1,1,6,1,1,1,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,6,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,3,1,1,1,1,1,6,6,6,6
14232,21,D,7,1,10,6819,11,-152,5378,10/31/18 6:30,10/31/18 6:30,2000,2006.2,0.4289,0,1116.9,392.5,1510.6,,,Smaller dark aggregate to Pa/Th; large black agg to archive,"7Q has large, dark (black) aggregate -> leave in sunsampled",,,6,1,6,6,1,6,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,6,1,6,1,1,1,1,1,6,1,6,1,1,1,1,1,1,1,6,1,1,1,6,6,6,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,3,1,1,1,1,1,6,6,6,0
14231,21,D,8,1,10,6819,11,-152,5378,10/31/18 6:30,10/31/18 6:30,1400,1402.2,0.4289,0,1206.5,439.6,1680,,,,,,,6,1,6,6,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,1,1,1,6,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,6,1,1,1,6,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,3,1,1,1,1,1,0,6,6,0
14321,23,S,1,2,3,6828,7.5,-152,5232,11/1/18 18:12,11/1/18 18:12,800,798.0182,2.9383,pump intercal depth--to distribute,1197,433.5,1695.5,,,,Small cracks in QMA (might be due to wrong operation in sucking down on deck†,,,6,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,1,1,6,1,6,1,6,1,1,1,6,1,6,1,1,1,1,NaN,NaN,1,6,1,1,1,6,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,6,1,1,6,1,6,6,1,1,1,6,6,1,1,1,1,1,NaN,NaN,6,1,6,6,1,1,1,1,1,1,1,6,6,1,1,1,1,1,6,1,1,1,6,1,3,1,1,1,1,1,6,6,0,0
14320,23,S,2,2,3,6828,7.5,-152,5232,11/1/18 18:12,11/1/18 18:12,500,498.0182,2.9383,0,1155.4,465.4,1619.7,,,Pa/Th gets large black aggs,,,,6,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,6,1,6,1,1,1,1,1,1,1,6,1,1,1,6,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,6,1,6,1,6,6,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,6,1,3,1,1,1,1,1,6,6,0,0
14319,23,S,3,2,3,6828,7.5,-152,5232,11/1/18 18:12,11/1/18 18:12,300,298.0182,2.9383,0,1087.5,462.6,1545.2,,,,,,,6,1,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,1,1,1,6,1,6,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,6,1,6,6,1,1,1,6,6,1,1,1,1,1,1,1,6,1,6,6,1,1,1,1,1,1,1,6,6,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,6,0,0
14318,23,S,4,2,3,6828,7.5,-152,5232,11/1/18 18:12,11/1/18 18:12,200,198.0182,2.9383,O2min starts,1167,487.2,1655.8,,,,,,,6,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,6,1,6,1,6,1,1,6,1,6,6,1,1,1,6,6,6,1,1,1,1,1,1,6,6,1,6,1,1,1,1,1,1,1,6,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,0,6,0,0
14317,23,S,5,2,3,6828,7.5,-152,5232,11/1/18 18:12,11/1/18 18:12,160,158.0182,2.9383,0,1116,554.4,1674.5,,,,,,,1,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,6,1,6,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,1,1,1,6,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,6,6,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,6,6,0,0
14316,23,S,6,2,3,6828,7.5,-152,5232,11/1/18 18:12,11/1/18 18:12,100,98.0182,2.9383,0,1068.5,506,1585.1,,,,,,,6,1,6,6,1,1,6,1,1,6,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,6,6,6,1,6,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,1,1,1,6,1,6,6,1,1,1,1,6,6,1,1,1,1,1,1,6,6,6,6,1,1,1,1,1,1,1,6,6,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,6,0,0,0
14315,23,S,7,2,3,6828,7.5,-152,5232,11/1/18 18:12,11/1/18 18:12,80,78.0182,2.9383,DCM and particle max,988.1,478.2,1477.2,,,,,,,6,1,6,6,1,1,6,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,1,6,6,6,1,6,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,6,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,6,1,1,1,1,1,1,6,6,1,1,1,1,1,1,1,6,1,6,1,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,0,0
14314,23,S,8,2,3,6828,7.5,-152,5232,11/1/18 18:12,11/1/18 18:12,25,23.0182,2.9383,ML (MLD=34m),934.1,456.7,1434.4,,,Pa/Th gets 2 sections with (i) linear-shaped cluster of densely packed aggregates; (ii) a cluster of large red aggs,Note 8Q reloaded as paired Supor 0.8 um w/ No prefilter for 23M,,8s reloaded as paired Supor + 51/150 um as usual for 23M. To test size fractionation leads to lower particle load,6,1,6,6,1,1,6,6,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,6,6,6,1,6,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,6,1,6,1,1,6,1,1,6,6,6,6,6,6,6,6,1,6,6,6,6,6,6,6,6,1,6,1,6,1,6,1,1,6,1,6,6,1,1,1,6,6,6,1,1,1,1,1,1,6,6,6,6,1,1,1,1,1,1,1,6,6,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,6,6,0,0
14405,23,M,1,2,8,6837,7.5,-152,5210,11/2/18 10:45,11/2/18 10:45,2750,2741.2,3.7013,0,1163.4,419.7,1647.3,,,,,,,6,1,6,6,1,6,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,6,1,1,1,1,1,6,6,6,1,1,1,1,1,1,6,6,1,1,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,6,1,6,1,6,1,1,1,1,1,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,3,6,3,3,1,1,1,1,1,6,3,6,3
14404,23,M,2,2,8,6837,7.5,-152,5210,11/2/18 10:45,11/2/18 10:45,2600,2586.7,3.7013,0,1055.4,386.2,1446.3,,,,2Q has lots of dark specks (from shallow cast?),,,6,1,6,6,1,6,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,6,1,6,1,1,1,1,1,6,6,6,1,1,1,1,1,1,6,6,1,1,6,6,6,1,6,6,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,6,1,1,1,6,1,1,6,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,3,1,1,1,1,1,6,0,6,6
14403,23,M,3,2,8,6837,7.5,-152,5210,11/2/18 10:45,11/2/18 10:45,2450,2433.7,3.7013,0,788,309.9,1097.3,,,,,,,6,1,6,6,1,6,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,6,1,6,6,6,1,1,1,1,1,6,6,6,6,6,1,1,1,1,6,6,6,6,6,6,1,6,6,6,6,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,6,1,6,1,6,6,6,6,1,6,1,1,1,1,1,1,6,1,6,6,6,1,1,1,1,1,6,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,6,1,1,3,3,3,3,3,3,1,1,1,1,3,3,3,3
14402,23,M,4,2,8,6837,7.5,-152,5210,11/2/18 10:45,11/2/18 10:45,2300,2286.7,3.7013,0,1207.8,380.6,1601.8,,,,,,,6,1,6,6,1,6,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,1,6,1,6,1,6,1,1,1,6,6,6,1,6,1,1,1,1,6,6,1,6,1,6,1,6,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,6,1,1,1,1,1,1,6,6,1,6,1,1,1,1,1,6,1,6,1,1,1,1,1,6,1,1,6,6,1,1,1,1,1,1,1,3,1,3,6,3,3,1,1,1,1,3,6,3,0
14401,23,M,5,2,8,6837,7.5,-152,5210,11/2/18 10:45,11/2/18 10:45,2150,2136.7,3.7013,0,1141,445.4,1584.7,,,,,,,6,1,6,6,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,6,1,1,1,1,1,6,6,6,1,1,1,1,1,1,6,6,1,1,1,6,1,6,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,3,1,1,1,1,1,6,6,6,0
14400,23,M,6,2,8,6837,7.5,-152,5210,11/2/18 10:45,11/2/18 10:45,1750,1738.7,3.7013,0,1176.6,440.1,1628.1,,,,,,,6,1,6,6,1,6,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,6,1,1,1,1,1,6,1,6,1,1,1,1,1,1,1,6,1,1,1,6,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,6,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,3,1,1,1,1,1,6,6,6,0
14399,23,M,7,2,8,6837,7.5,-152,5210,11/2/18 10:45,11/2/18 10:45,1250,1240.7,3.7013,0,1094,403.3,1496.3,,,,Repeta 32 mm dropped on floor. Gave them archive instead,,,6,1,6,6,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,1,1,1,1,1,1,NaN,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,0,0,0
14398,23,M,8,2,8,6837,7.5,-152,5210,11/2/18 10:45,11/2/18 10:45,800,791.7,3.7013,pump intercal depth main PI; size fract expt (no QMA),746.2,758.7,1535.6,,"Size-fractionation expt; ""Q"" loaded with paired 0.8Supors; ""S"" loaded as usual: 51um/150, paired 0.8Supors",,"8Q is actually paired Supors, no prefilter -> subsampled as S; called S-2 in subsample labels and in particles; reloaded as normal Q for 23 D",8Sp subsampled for us only: 1/4 to pTM-1 (14398Sp-A); 1/4 to pTM-2 (14398 Sp-B),8S is normal paired Supor w/ 51/150 um prefilter -> S subsampled as S,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,1,1,9,NaN,9,NaN,9,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
14450,23,D,1,2,11,6842,7.525366667,-152.0200833,5210,11/3/18 2:47,11/3/18 2:47,5050,5055.3,2.0177,bottom-40,1109.1,379.3,1552.6,,,,,,,6,1,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,1,1,6,1,1,1,1,1,6,6,6,1,6,1,1,1,1,6,6,1,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,3,1,3,6,3,3,1,1,1,1,3,6,3,6
14449,23,D,2,2,11,6842,7.525366667,-152.0200833,5210,11/3/18 2:47,11/3/18 2:47,4750,4747.7,2.0177,bottom-80,1132.2,404.3,1545.9,,,Qp pTM funnel leaky,dark specks again (all specks to rest protein) - wiped underside of C pate w/ clean wipe & MQ - definitely some particles,,,6,1,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,1,1,6,1,1,1,1,1,6,6,6,6,6,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,1,6,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,3,6,3,6,3,3,1,1,1,1,3,6,3,6
14448,23,D,3,2,11,6842,7.525366667,-152.0200833,5210,11/3/18 2:47,11/3/18 2:47,4500,4500.7,2.0177,bottom-160,993.5,348.9,1437.1,,,,,,,6,1,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,6,1,1,1,6,1,1,1,6,1,6,6,6,1,1,1,1,1,1,6,6,1,1,1,6,1,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,3,1,1,1,1,1,3,6,3,6
14447,23,D,4,2,11,6842,7.525366667,-152.0200833,5210,11/3/18 2:47,11/3/18 2:47,4000,4001.7,2.0177,0,1160.8,342.7,1529.5,,,,,,,6,1,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,6,1,1,1,6,1,1,1,6,1,6,6,6,1,6,1,1,1,1,6,6,1,6,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,6,1,1,1,6,1,1,1,1,6,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,3,3,3,3
14446,23,D,5,2,11,6842,7.525366667,-152.0200833,5210,11/3/18 2:47,11/3/18 2:47,3500,3508.7,2.0177,0,1137.7,414.4,1563.6,,,,,,,6,1,6,6,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,6,1,1,1,6,1,1,1,1,1,6,6,6,1,6,1,1,1,1,6,6,1,6,1,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,6,1,1,1,1,1,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,3,1,3,6,3,3,1,1,1,1,3,6,3,6
14445,23,D,6,2,11,6842,7.525366667,-152.0200833,5210,11/3/18 2:47,11/3/18 2:47,3300,3314.7,2.0177,0,1179.4,417.8,1608.5,,,,,,,6,1,6,6,1,6,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,6,1,1,1,6,1,1,1,1,1,6,1,6,1,1,1,1,1,1,1,6,1,1,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,6,1,1,6,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,3,1,1,1,1,1,3,6,3,6
